chrono diver -fragment-
Vocal.三澤 秋 Arrange.猫叉Master
Album. 猫叉Master - ＜follow slowly＞
いつから 幾度 繰り返しただろう | 从何时起 又循环了多少次呢
始まりの碧い闇に 目覚めては | 在最开始的苍黑色中醒来
記憶の狭間をさまよい続けてる光 | 游走在记忆的缝隙之间的光
辿り着く理由は？ | 拼命到达的理由是？
Ah...
どこかで失くした影と すれ違う | 在哪里 与遗失的影子擦肩而过
鏡合わせね | 将碎镜拼合
ほら私と同じ顔で 微笑み | 看 镜中的我与我一起微笑
叫びは時の流れの中に | 时光流逝中呼喊
飲み込まれ | 咽下
果てに届く | 直到尽头
この声が聞こえる？ | 能否听到这声音？
鏡の向こう側に触れたくて | 想触摸到镜子的另一侧
震える手をのばす | 颤抖着伸出手
遠ざかってゆく記憶の中で | 远去的记忆里
どんな言葉よりも | 无论什么话语
生きていた証と刻を | 都比不上活着的证据与时刻
触れた指先から感じているよ | 感觉到了指尖传来的触感
世界の果てで | 于世界的尽头
冷たく冴えた闇に抱かれたまま | 如此拥抱着清寒之黑暗
眠るようにただ瞳を閉ざしては | 就像睡去一般 闭上眼睛
祈りの言葉もなくした私はどこへ | 没有了祈祷的话语
辿り付くのだろう？ | 我该去向何方？
儚く消えてしまいそうな幻は 鏡合わせね | 虚无缥缈的幻影 将碎镜拼合
ほら私と同じ顔で 微笑み | 看 镜中的我与我一起微笑
願いは時の流れのままに 形を変えては | 希望时间这样流着 改变着形式
誰かこの声が聴こえる？ | 谁能听到这声音？
出会うことのないはずのあなたへと | 相逢本不应发生在你身上
震える手をのばす | 颤抖着伸出手
遠ざかってゆく記憶と共に | 与记忆一同远去的
わずかな熱さも | 微小的温度
生きていた証と刻も | 活着的证据与时刻
てのひらから全てすり抜けてくよ | 你的手心 穿透了这一切
闇夜の果てへ | 直到黑夜的尽头
どこかで失くした影と すれ違う | 在哪里 与遗失的影子擦肩而过
鏡合わせね | 将碎镜拼合
ほら私と同じ顔で 囁く | 看 镜中的我与我一起低语
叫びは時の流れの中に | 时光流逝中呼喊
飲み込まれ | 咽下
果てに消える | 消失在尽头
その声が聞かせて | 若听到了那声音
鏡の向こう側の私へと | 向着镜子里的我
震える手をのばす | 颤抖着伸出手
遠ざかってゆく記憶の中で | 远去的记忆里
どんな言葉よりも | 无论什么话语
生きていた証と刻を | 都比不上活着的证据与时刻
触れた指先から感じているから | 是因为感受到了指尖传来的触感
世界の果てで | 于世界的尽头
by_hakosh & Nidhogg
[re:Made by LrcHelper @https://github.com/ludoux/lrchelper]
[ve:3.0.0.0]
